Area 1 (Hazeva),Area 2 (Paran),Area 3 (Neot Smadar),Area 4 (Yotvata)
2709700,1029000,1075550,1122100
2337300,2062900,2347100,2631300
1494500,1538600,1923250,2307900
1396500,847700,877100,906500
3508400,3292800,3319750,3346700
558600,632100,749700,867300
1078000,2028600,1283800,539000
2969400,1484700,1141700,798700
1519000,1097600,921200,744800
455700,1185800,1563100,1597400
1357300,779100,539000,808500
715400,294000,857500,1303400
1891400,421400,1479800,548800
1318100,857500,539000,1014300
1920800,1685600,1715000,950600
999600,960400,646800,426300
2405900,1798300,1014300,416500
1107400,509600,539000,372400
1195600,1901200,769300,406700
392000,411600,249900,166600
3415300,1994300,2087400,2837100
1572900,1435700,343000,107800
1024100,612500,1876700,465500
1533700,1416100,725200,1293600
3763200,3273200,3327100,3165400
3091900,1891400,2802800,2636200
2557800,3175200,2567600,1862000
823200,940800,1734600,730100
5782000,2832200,2116800,1940400
2131500,2905700,2822400,1592500
3792600,4018000,3856300,2557800
