Area 1,Area 2,Area 3,Area 3
15427500,11814500,7186600,5678400
13676900,11418900,5525200,8077100
13655100,11457000,6150700,8842900
13097800,10756000,6660800,9141600
18618948,12992450,8085490,16674900
19126007,14240020,8060500,17343160
19951782,15034970,9268330,17003690
21566790,14520090,8343860,17515980
25240592,15308290,7932080,18775740
26737758,15436140,7430790,19939630
28760527,17054300,8927300,18651730
30343312,17048990,8001027,17809260
33276863,17647715,8048390,17967950
33190767,19389965,7805230,17346470
35538858,20093750,7400916,19299360
33072535,20137655,7534709,18485760
34512836,19440430,7753110,21533360
34535374,19882660,8342005,20602499
35618512,18778050,8113360,22376250
35667232,21003590,6617890,20575697
35803856,22241560,8096290,19482293
36379430,23763673,7674710,20508370
37655618,22908223,8144820,19632040
37576767,24746660,8563640,20277870
36639156,23972042,8081420,19620000
35047598,22375070,9082740,20712647
41651840,22630615,8763871,20542970
36609174,24084620,9721290,22622010
36911093,25707485,10861802,24031107
38552431,25015550,11895870,23614040
40622551,23175120,11943291,24236820
